status,source_name,source_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence,retailer,error_type
INCORRECT,ทินเนอร์ TOA BARGO AAA ขวดใหญ่,https://www.homepro.co.th/p/15097,ทินเนอร์ Barco รุ่น AAA ขนาด ขวดใหญ่,https://www.thaiwatsadu.com/th/sku/60001595,ทินเนอร์ BARCO รุ่น AAA ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001580,95,homepro,AI_ERROR_SIZE
INCORRECT,ประตูห้องน้ำ UPVC ECO-DOOR PD1 70X200 ซม. สีครีมเทา ทูโทน เจาะลูกบิด,https://www.homepro.co.th/p/1242188?lang=th&gad_source=1&gclid=CjwKCAjwufq2BhAmEiwAnZqw8qiMNsXUEi3t54lgsN0ywRScX_MvmA052OgR1t9f6P7kNuQMy4et5RoCtzAQAvD_BwE,ประตูภายใน UPVC ECO DOOR รุ่น PB1 ขนาด 70 x 200 ซม. สีเทาอ่อนทูโทนเทาเข้ม (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60412569,ประตูภายใน UPVC ECO DOOR รุ่น PD1 ขนาด 70 x 200 ซม. สีครีมทูโทนเทา (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60416137,100,homepro,AI_ERROR_FINISH
INCORRECT,ประตูบานเลื่อน UPVC S-S มุ้ง WINDOW ASIA 200X205 ซม. สีขาว,https://www.homepro.co.th/p/1165985,ประตูบานเลื่อน 2 บาน UPVC พร้อมมุ้งลวด WINSTAR ขนาด 200 x 205 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60334809,ประตูบานเลื่อน UPVC 2 บานพร้อมมุ้ง FRAMEX ขนาด 200 x 205 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60365148,95,homepro,GT_FAULT_BRAND
INCORRECT,ประตูภายนอก UPVC MODERNWOOD REVO MWR002 90X200 ซม. สีขาว เจาะลูกบิด,https://www.homepro.co.th/p/1194270,ประตูภายนอก UPVC MASTERWOOD รุ่น MN002 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60084152,ประตูภายนอก UPVC MASTERWOOD รุ่น MN003 ขนาด 90 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60084161,95,homepro,NEEDS_REVIEW
INCORRECT,ประตูภายนอก UPVC AZLE MD-5 80X200 ซม. สีขาว เจาะลูกบิด,https://www.homepro.co.th/p/1094173,ประตูภายนอก UPVC MASTERWOOD รุ่น MNM01 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60311945,ประตูภายนอก UPVC ECO DOOR รุ่น TLW ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60387911,95,homepro,NEEDS_REVIEW
INCORRECT,ประตูภายในเมลามีน AZLE VALENTINO 80X200 ซม. สีน้ำตาล ไม่เจาะลูกบิด,https://www.homepro.co.th/p/1229258,ประตูภายใน HDF ปิดผิวเมลามีน เซาะร่องแนวตั้ง 1 เส้น วนชัย ขนาด 80 x 200 ซม. สีเทา (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60369729,ประตูภายใน HDF ปิดผิวเมลามีน วนชัย รุ่น MAG1 ขนาด 80 x 200 ซม. สีเทา (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60369728,95,homepro,NEEDS_REVIEW
INCORRECT,ชุดประตูห้องน้ำพร้อมวงกบ PVC AZLE AZ-P2 เกล็ดล่าง UV 70X200 ซม. สีขาว,https://www.homepro.co.th/p/1192402,ประตูภายใน PVC บานเกล็ดล่าง มอก. เคลือบ UV D.D.DOOR รุ่น P2 ขนาด 70 x 200 ซม. สีขาว (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60319461,วงกบประตู PVC POLYWOOD ขนาด 70 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60255379,95,homepro,NEEDS_REVIEW
INCORRECT,ประตูภายนอก UPVC PARAZZO MN002 80X200 ซม. สีขาว เจาะลูกบิด,https://www.homepro.co.th/p/217077,ประตูภายใน UPVC Revo 2 ลูกฟัก MASTERWOOD รุ่น MI02 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60301473,ประตูภายนอก UPVC MASTERWOOD รุ่น MN002 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60084152,95,homepro,NEEDS_REVIEW
INCORRECT,ประตูห้องน้ำ UPVC PARAZZO ML003 70X200 ซม. สีขาว เจาะลูกบิด,https://www.homepro.co.th/p/237127,ประตูภายใน UPVC Revo MASTERWOOD รุ่น MPSW008-I ขนาด 70 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60322004,ประตูภายนอก UPVC ECO DOOR รุ่น W2 ขนาด 70x200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60416405,95,homepro,NEEDS_REVIEW
INCORRECT,ประตูห้องน้ำ UPVC AZLE TROPICAL 70X200 ซม. สีขาว พร้อมวงกบ ไม่เจาะลูกบิด,https://www.homepro.co.th/p/1247999,ประตูภายใน UPVC กระจกลายดอกไม้ พร้อมวงกบ HI DOOR รุ่น A-023/SU-19 ขนาด 70 x 200 ซม. (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60249118,วงกบประตู UPVC ECO DOOR รุ่น UR-100 ขนาด 70 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60368109,90,homepro,AI_ERROR_FINISH
INCORRECT,ประตู UPVC ASARA G925 ดอกซากุระ 70x200 ซม. สีขาว พร้อมวงกบ ไม่เจาะลูกบิด,https://www.homepro.co.th/p/1157824,ประตูภายใน UPVC กระจกลายดอกไม้ พร้อมวงกบ HI DOOR รุ่น A-023/SU-20 ขนาด 70 x 200 ซม. (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60249119,ประตูภายนอก UPVC ECO DOOR รุ่น W2 ขนาด 70x200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60416405,70,homepro,AI_ERROR_FINISH
INCORRECT,ประตูภายใน UPVC PARAZZO PUN06 80X200 ซม. สี TEXES OAK เจาะลูกบิด,https://www.homepro.co.th/p/1110132,ประตูภายใน UPVC เซาะร่อง CONNEX รุ่น CH11 ขนาด 90 x 200 ซม. สีช็อกโกแลต (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60308770,ประตูภายใน UPVC เซาะร่อง CONNEX รุ่น LT13 ขนาด 80 x 200 ซม. สีลัตเต (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60308766,90,homepro,NEEDS_REVIEW
INCORRECT,ประตูภายใน UPVC AZLE LT-06 80X200 ซม. สี BROWNIE OAK เจาะลูกบิด,https://www.homepro.co.th/p/1073298,ประตูภายใน UPVC เซาะร่อง CONNEX รุ่น LT13 ขนาด 80 x 200 ซม. สีลัตเต (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60308766,ประตูภายใน UPVC Revo 2 ลูกฟัก MASTERWOOD รุ่น MI02 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60301473,80,homepro,AI_ERROR_FINISH
INCORRECT,สีรองพื้นปูนใหม่ CAPTAIN WELLTECHPLUS ด้าน 5 แกลลอน,https://www.homepro.co.th/p/82603,รองพื้นปูนใหม่ WELLTECH รุ่น 1000 BW1601 ขนาด 5 แกลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60109195,รองพื้นปูนใหม่ CAPTAIN รุ่น LONGLIFE SHIELD+ ขนาด 5 แกลลอน สีขาว (C6000),https://www.thaiwatsadu.com/th/sku/60243301,95,homepro,NEEDS_REVIEW
INCORRECT,วงกบประตู PVC AZLE 80X200 ซม. สีครีม,https://www.homepro.co.th/p/196193,วงกบประตู PVC POLYWOOD ขนาด 70 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60255379,วงกบประตู UPVC มีบัวในตัว CONNEX ขนาด 80 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60318711,90,homepro,NEEDS_REVIEW
INCORRECT,วงกบประตูสังเคราะห์ พร้อมซับ XL KING 70X200 ซม. สีขาว,https://www.homepro.co.th/p/1189425,วงกบประตู UPVC MASTERWOOD ขนาด 70 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60084287,วงกบประตู PVC BATHIC รุ่น PVC-F ขนาด 70 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60276649,95,homepro,NEEDS_REVIEW
INCORRECT,วงกบประตูไม้สังเคราะห์ WPC ECO-DOOR 80x200 ซม. สีขาว,https://www.homepro.co.th/p/1110609,วงกบประตู WPC ECO DOOR รุ่น WVSM-100 ขนาด 80 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60262061,วงกบประตู WPC ECO DOOR รุ่น WR-100 ขนาด 80 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60345723,95,homepro,NEEDS_REVIEW
INCORRECT,วงกบประตูไม้แคมปัส AZLE 80X200 ซม. สีธรรมชาติ,https://www.homepro.co.th/p/1159356,วงกบประตูไม้แคมปัส AB KP รุ่น SL0924 ขนาด 80 x 200 ซม. อบพ่นสีแดง,https://www.thaiwatsadu.com/th/sku/60208465,วงกบประตูไม้แคมปัส AA KP รุ่น SL1024 ขนาด 80 x 200 ซม. สีธรรมชาติ,https://www.thaiwatsadu.com/th/sku/60208466,95,homepro,NEEDS_REVIEW
INCORRECT,วงกบประตูไม้เต็งแดง MODERN DOORS COM1 80X200 ซม. สีธรรมชาติ,https://www.homepro.co.th/p/238882,วงกบประตูไม้เต็งแดงจ๊อยท์ WINDOORS รุ่น Com1 ขนาด 80 x 200 ซม. สีธรรมชาติ,https://www.thaiwatsadu.com/th/sku/60345579,วงกบประตูไม้เต็งแดงจ๊อยท์ WINDOORS รุ่น Com1 ขนาด 80 x 200 ซม. สีธรรมชาติ,https://www.thaiwatsadu.com/th/sku/60388501,100,homepro,NEEDS_REVIEW
INCORRECT,สีน้ำทาภายนอก NIPPON PAINT SUPER SERVE BASE A กึ่งเงา 2.5 แกลลอน,https://www.homepro.co.th/p/1236126,สีน้ำกึ่งเงา ภายนอก NIPPON รุ่น ซุปเปอร์เซิฟ ขนาด 2.5 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60381992,สีน้ำด้าน ภายนอก NIPPON รุ่น ซุปเปอร์เซิฟ ขนาด 2.5 แกลลอน สีเบส A,https://www.thaiwatsadu.com/sku/60382000,90,homepro,AI_ERROR_FINISH
INCORRECT,สีน้ำทาภายนอก TOA SUPERSHIELD ADVANCE BASE A เนียน 1 แกลลอน,https://www.homepro.co.th/p/149818?srsltid=AfmBOoqOYBSGiu5ykF-cYxLkZA36oA38KaZiltYGo_82b6Rth8G6zpCM,สีน้ำกึ่งเงา ภายนอก TOA รุ่น Supershield Advance ขนาด 1 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60000803,สีน้ำเนียน ภายนอก TOA รุ่น Supershield Advance ขนาด 1 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60004713,100,homepro,AI_ERROR_FINISH
INCORRECT,สีน้ำทาภายนอก ชนิดกึ่งเงา TOA SUPERMATEX BASE A 9 ลิตร,https://www.homepro.co.th/p/1112136,สีน้ำกึ่งเงาภายนอก ซุปเปอร์เมเทค รุ่น แอดวานซ์ ขนาด 9 ลิตร สีเบส A,https://www.thaiwatsadu.com/th/sku/60315086,TOA สีน้ำกึ่งเงา ภายนอก รุ่น Supershield Advance ขนาด 9 ลิตร สีเบส A,https://www.thaiwatsadu.com/th/sku/60000860,90,homepro,AI_ERROR_PRODUCT_LINE
INCORRECT,สีน้ำทาภายนอก NIPPON PAINT WEATHERBONDSHEEN BASE A 9L,https://www.homepro.co.th/p/1170148,สีน้ำภายนอก NIPPON รุ่น เวเธอร์บอนด์ เนียน ขนาด 9 ลิตร เบส A,https://www.thaiwatsadu.com/th/sku/60336105,สีน้ำภายนอก NIPPON รุ่น เวเธอร์บอนด์ กึ่งเงา ขนาด 9 ลิตร เบส A,https://www.thaiwatsadu.com/th/sku/60336113,100,homepro,AI_ERROR_FINISH
INCORRECT,สีน้ำทาภายนอก DULUX INSPIRE BASE B ด้าน 9 ลิตร,https://www.homepro.co.th/p/1246641,สีน้ำภายนอก ชนิดกึ่งเงา DULUX รุ่น INSPIRE ขนาด 9 ลิตร สีเบส B,https://www.thaiwatsadu.com/th/sku/60404004,สีน้ำภายนอก ด้าน DULUX รุ่น INSPIRE ขนาด 9 ลิตร สีเบส A,https://www.thaiwatsadu.com/th/sku/60404007,95,homepro,AI_ERROR_FINISH
INCORRECT,สีน้ำทาภายนอก ชนิดกึ่งเงา NIPPON PAINT HYBRIDSHIELD BASE A สีขาว 2.5 แกลลอน,https://www.homepro.co.th/p/1142432?lang=th&gad_source=1&gclid=CjwKCAjwufq2BhAmEiwAnZqw8j8y2_cfaqArMvd-tWqZlhyrogbiYQtJ-Rw3ZCjwPQhMtD1fIyGDtRoCugYQAvD_BwE,สีน้ำภายนอก ชนิดด้าน NIPPON PAINT รุ่น HYBRIDSHIELD ขนาด 2.5 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60403810,สีภายนอกไฮบริดชิลด์กึ่งเงา NIPPON รุ่น HYBRIDSHIELD SG ขนาด 2.5 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60316887,95,homepro,AI_ERROR_FINISH
