Retailer,TWD_SKU,TWD_Name,TWD_URL,Expected_Competitor_URL,Reason
HomePro,60369728,ประตูภายใน HDF ปิดผิวเมลามีน วนชัย รุ่น MAG1 ขนาด 80 x 200 ซม. สีเทา (ไม่เจาะลูก,https://www.thaiwatsadu.com/th/sku/60369728,https://www.homepro.co.th/p/1098873,Product not in competitor catalog
HomePro,60416135,ประตูภายใน UPVC ECO DOOR รุ่น PE2 ขนาด 80 x 200 ซม. สีเทา (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60416135,https://www.homepro.co.th/p/1225282,Product not in competitor catalog
HomePro,60195212,ประตูอะลูมิเนียมบานเลื่อน NK รุ่น 2 บาน ขนาด 199 x 204.5 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60195212,https://www.homepro.co.th/p/1071785,Product not in competitor catalog
HomePro,60157204,ประตูอะลูมิเนียมบานเลื่อน NK รุ่น 2 บาน ขนาด 199 x 204.5 ซม. สีชา,https://www.thaiwatsadu.com/th/sku/60157204,https://www.homepro.co.th/p/1071649,Product not in competitor catalog
HomePro,60426466,สีทาฝ้า TOA รุ่น PRO EXPERT ขนาด 9 ลิตร สีควันบุหรี่ #PM888,https://www.thaiwatsadu.com/sku/60426466,https://www.homepro.co.th/p/1287827?srsltid=AfmBOoqBgeuLmbls1cpoCW1cAki255i2ijVOYFn66Qc2FKxlASoKiZQY,Product not in competitor catalog
HomePro,60414002,สีน้ำทาฝ้า TOA รุ่น SHIELD EXPERT ขนาด 5 แกลลอน สีขาว #E777,https://www.thaiwatsadu.com/th/sku/60414002,https://www.homepro.co.th/p/1267651?currentTimeMillis=1729224407604&srsltid=AfmBOorFIrqMtM8wSE-mPSyq9qrTwMLHdhtSmgoIT3cnyaapSlQBNSZU,Product not in competitor catalog
HomePro,60414004,สีน้ำทาฝ้า TOA รุ่น SHIELD EXPERT ขนาด 5 แกลลอน สีขาวควันบุหรี่ #E999,https://www.thaiwatsadu.com/th/sku/60414004,https://www.homepro.co.th/p/1267641,Product not in competitor catalog
HomePro,60277554,หน้าต่างอะลูมิเนียมบานเลื่อน FRAMEX รุ่น 2 บาน+มุ้ง SS ขนาด 100 x 110 ซม. สีดำ,https://www.thaiwatsadu.com/th/sku/60277554,https://www.homepro.co.th/p/1160235,Product not in competitor catalog
HomePro,60376226,ชุดดอกไขควงสี่แฉกพร้อมปลอกแม่เหล็กแรงสูง DEWALT รุ่น DT70536T-QZ ขนาด PH2 x 57 ม,https://www.thaiwatsadu.com/th/sku/60376226,https://www.homepro.co.th/p/1253018,Product not in competitor catalog
HomePro,60331470,ตลับกุญแจบานสวิงซิงค์ SOLEX รุ่น 5100BT สีน้ำตาล,https://www.thaiwatsadu.com/th/sku/60331470,https://www.homepro.co.th/p/220741?srsltid=AfmBOoow1pNt9dbXi4CJ9CZarY55woG0DFT3TucdTxhvoASk4L6Sw-Ml,Product not in competitor catalog
HomePro,60252799,,https://www.thaiwatsadu.com/th/sku/60252799,https://www.homepro.co.th/p/220755,Product not in competitor catalog
HomePro,60252792,ตลับกุญแจบานเลื่อนซิงค์ SOLEX รุ่น 5100HT สีเงิน,https://www.thaiwatsadu.com/th/sku/60252792,https://www.homepro.co.th/p/220755,Product not in competitor catalog
HomePro,60242789,ถุงมือหนังงานเชื่อม YAMADA ขนาด14 นิ้ว สีน้ำตาล,https://www.thaiwatsadu.com/th/sku/60242789,https://www.homepro.co.th/p/1029397,Product not in competitor catalog
HomePro,60008806,น้ำมันหล่อลื่น SONAX รุ่น SO-302 ขนาด 150 มล. สีใส,https://www.thaiwatsadu.com/th/sku/60008806,https://www.homepro.co.th/p/136558,Product not in competitor catalog
HomePro,60293360,บานพับประตูสเตนเลส304 (2แหวนหัวตัด)มอก. COLT รุ่น 26 ขนาด 4 x 3นิ้ว (แพ็ก3ชิ้น) ,https://www.thaiwatsadu.com/th/sku/60293360,https://www.homepro.co.th/p/1079112,Product not in competitor catalog
HomePro,60245967,บานพับประตูสเตนเลส304 2แหวนลูกปืนหัวตัด YALE รุ่น HI-SL4325BBP3 ขนาด 4x3นิ้ว (แพ,https://www.thaiwatsadu.com/th/sku/60245967,https://www.homepro.co.th/p/277192,Product not in competitor catalog
HomePro,60375558,บานพับปีกผีเสื้อสเตนเลส 201 2แหวนหัวตัด COLT LITE รุ่น 747 ขนาด 3 x 4 นิ้ว x 1.8,https://www.thaiwatsadu.com/th/sku/60375558,https://www.homepro.co.th/p/1160617,Product not in competitor catalog
HomePro,60263862,,https://www.thaiwatsadu.com/th/sku/60263862,https://www.homepro.co.th/p/1235730?lang=th&gad_source=1&gclid=Cj0KCQiAo5u6BhDJARIsAAVoDWvbJhXAWfL_6SZ5kIHj15nMoT6mpfkIQORJqsZWKC_qlbjf0w-HdH0aArprEALw_wcB,Product not in competitor catalog
HomePro,60245889,มือจับก้านโยกห้องทั่วไปซิงค์ YALE รุ่น VL5317US15 นิกเกิลด้าน,https://www.thaiwatsadu.com/th/sku/60245889,https://www.homepro.co.th/p/263837,Color variant mismatch (SN)
HomePro,60245892,มือจับก้านโยกห้องทั่วไปซิงค์ YALE รุ่น VL5327US15 นิกเกิลด้าน,https://www.thaiwatsadu.com/th/sku/60245892,https://www.homepro.co.th/p/263836?srsltid=AfmBOooOtLW824P7n3gegP3Uzsxsudy5f6EgV50cCkLi5_JWqn7AFPLf,Color variant mismatch (SN)
HomePro,60306158,มือจับก้านโยกห้องทั่วไปซิงค์พรีเมียมจานกลม SOLEX รุ่น 1701 SN สีสเตนเลสด้าน,https://www.thaiwatsadu.com/th/sku/60306158,https://www.homepro.co.th/p/1174491,Color variant mismatch (SN)
HomePro,60309005,มือจับก้านโยกห้องทั่วไปซิงค์พรีเมียมจานสี่เหลี่ยม YALE รุ่น L9117 US15 สีนิกเกิล,https://www.thaiwatsadu.com/th/sku/60309005,https://www.homepro.co.th/p/1100363,Color variant mismatch (SN)
HomePro,60199931,มือจับก้านโยกห้องทั่วไปสเตนเลส SOLO รุ่น 9481(A)BP สีสเตนเลสดำ,https://www.thaiwatsadu.com/th/sku/60199931,https://www.homepro.co.th/p/1149020,Color variant mismatch (BLACK)
HomePro,60185490,รองเท้าบู๊ต 14 นิ้ว โบว์ลิ่ง รุ่น 2700 เบอร์ 11 สีดำ,https://www.thaiwatsadu.com/th/sku/60185490,https://www.homepro.co.th/p/1136172,Product not in competitor catalog
HomePro,60358736,สว่านกระแทก 16 มม. MAKITA รุ่น M0801KX3B กำลัง 500 วัตต์ สีเขียว - ดำ,https://www.thaiwatsadu.com/th/sku/60358736,https://www.homepro.co.th/p/1183870,Product not in competitor catalog
